"fh_cl";"wvs_confgov";"wef_fgo";"diat_ati";"wbgi_cce";"wef_ebf";"wef_pr";"wbgi_pse";"eiu_fog";"fe_cultdiv";"fe_etfra";"al_language";"fac1";"fac2"
1;2.021174;2.49495029449463;57;-0.0276681166142225;3.63513326644898;4.2847056388855;0.513671636581421;6.42999982833862;0.039599955;0.039599955;0.114682301878929;0.620988200612491;-1.92025063114558
2;2.1269622;4.80676746368408;60;1.61405766010284;5.74997186660767;5.7900595664978;0.923640727996826;8.21000003814697;0.011963964;0.011963964;0.0177715998142958;3.40669255419306;-1.25537111145445
5;2.9400814;2.77023124694824;36;-0.88597047328949;3.86069011688232;4.07974052429199;-0.380096048116684;2.14000010490417;0.61974317;0.66435897;0.662089705467224;-2.29814548534426;1.93795100972134
5;2.6564102;3.54370999336243;39;0.0690692067146301;4.3380274772644;5.2803201675415;-0.520845532417297;3.9300000667572;0.049174964;0.509175;0.039555799216032;0.116244209878917;-0.935149054358487
2;2.440593;2.80284929275513;55;0.463426113128662;4.05662727355957;4.66383934020996;0.237904340028763;8.21000003814697;0.003995955;0.003995955;0.002113200025633;1.48833169698372;-2.05581695248515
5;2.8786912;2.70556449890137;46;-0.161438480019569;4.01694107055664;5.14597988128662;0.176302179694176;3.9300000667572;0.53963643;0.70840001;0.344435691833496;-0.716816158992411;1.56344188103237
5;2.5666444;2.19715905189514;33;-1.09071862697601;2.75710868835449;2.40125966072083;-0.895671367645264;2.21000003814697;0.62380409;0.67935801;0.594928920269012;-3.70011381372205;1.25721976760371
4;1.9540347;1.97054851055145;54;-0.867037832736969;3.16981029510498;4.29400300979614;-1.65996909141541;1.78999996185303;0.19451237;0.77990001;0.131222501397133;-2.45052662377549;-0.444660518637688
5;1.9796574;3.44376611709595;11;-1.40164697170258;3.6777400970459;3.74336194992065;-1.5442578792572;5.71000003814697;0.12734568;0.15109998;0.0757886990904808;-1.29580329533623;-1.95056180022551
4;2.8921418;4.13314628601074;36;0.297329366207123;4.96543645858765;5.37220907211304;-0.00714454613626;7.8600001335144;0.56428242;0.59562993;0.596952199935913;0.473243598286157;2.41765080391909
3;2.2265663;3.00094699859619;43;-0.40952530503273;3.80140256881714;4.21558380126953;-0.682269215583801;7.1399998664856;0.433779;0.54177892;0.151118993759155;-0.720171619971683;0.34212231942633
4;2.5044804;3.59629559516907;33;-0.439782321453094;3.96060967445373;4.60848331451416;-0.46230161190033;4.6399998664856;0.36023831;0.47869998;0.468344002962112;-0.927497808046963;0.643821733936867
1;2.2189741;5.1752462387085;73;2.12877678871155;6.34975385665894;6.03409957885742;1.16966032981873;8.93000030517578;0.076799989;0.076800048;0.514293313026428;3.75145170250921;0.419823226938924
1;2.4868422;5.41026067733765;77;2.32085728645325;6.63225793838501;6.11535692214966;1.36270034313202;9.28999996185303;0.36346596;0.36346596;0.165653601288795;3.83475456429434;1.27948205233138
5;2.2331879;2.45144438743591;34;-1.14629876613617;3.52681803703308;3.37122941017151;-2.05749464035034;3.21000003814697;0.66037321;0.80480003;0.850346267223358;-3.64097638100935;2.47034577140683
5;2.1824298;2.36539220809936;43;-1.06194913387299;3.52274799346924;3.46885371208191;-2.68628096580505;5.3600001335144;0.28949666;0.53209996;0.719037115573883;-2.78759233123996;0.583728306574851
3;1.8854747;2.93767833709717;60;-0.395843267440796;3.62166476249695;3.77395534515381;-0.871903121471405;5;0.50590003;0.63789999;0.335816890001297;-1.68627392193344;0.916258528521633
